run,fitness,gap,vehicles_used,routes_str
1,470.0586,-17.81,1,"[1, 13, 8, 22, 5, 6, 9, 10, 11, 14, 12, 7, 2, 3, 4, 17, 16, 15, 18, 23, 21, 20, 19, 1]"
2,470.0586,-17.81,1,"[1, 13, 8, 22, 5, 6, 9, 10, 11, 14, 12, 7, 2, 3, 4, 17, 16, 15, 18, 23, 21, 20, 19, 1]"
3,470.0586,-17.81,1,"[1, 13, 8, 22, 5, 6, 9, 10, 11, 14, 12, 7, 2, 3, 4, 17, 16, 15, 18, 23, 21, 20, 19, 1]"
4,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
5,470.0586,-17.81,1,"[1, 13, 8, 22, 5, 6, 9, 10, 11, 14, 12, 7, 2, 3, 4, 17, 16, 15, 18, 23, 21, 20, 19, 1]"
6,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
7,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
8,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
9,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
10,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
11,470.0586,-17.81,1,"[1, 13, 8, 22, 5, 6, 9, 10, 11, 14, 12, 7, 2, 3, 4, 17, 16, 15, 18, 23, 21, 20, 19, 1]"
12,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
13,470.0586,-17.81,1,"[1, 13, 8, 22, 5, 6, 9, 10, 11, 14, 12, 7, 2, 3, 4, 17, 16, 15, 18, 23, 21, 20, 19, 1]"
14,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
15,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
16,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
17,470.0586,-17.81,1,"[1, 13, 8, 22, 5, 6, 9, 10, 11, 14, 12, 7, 2, 3, 4, 17, 16, 15, 18, 23, 21, 20, 19, 1]"
18,470.0586,-17.81,1,"[1, 19, 20, 21, 23, 18, 15, 16, 17, 4, 3, 2, 7, 12, 14, 11, 10, 9, 6, 5, 22, 8, 13, 1]"
19,470.0586,-17.81,1,"[1, 13, 8, 22, 5, 6, 9, 10, 11, 14, 12, 7, 2, 3, 4, 17, 16, 15, 18, 23, 21, 20, 19, 1]"
20,470.0586,-17.81,1,"[1, 13, 8, 22, 5, 6, 9, 10, 11, 14, 12, 7, 2, 3, 4, 17, 16, 15, 18, 23, 21, 20, 19, 1]"
